reference,domaincontroller,memberserver,reghive,key,keyname,keytype,keyvalue
cis_cce_35487_8,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,NoConnectedUser,REG_DWORD,0
cis_cce_37615_2,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,LimitBlankPasswordUse,REG_DWORD,0
cis_cce_37850_5,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,scenoapplylegacyauditpolicy,REG_DWORD,1
cis_cce_35907_5,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,crashonauditfail,REG_DWORD,0
cis_cce_37701_0,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,AllocateDASD,REG_SZ,0
cis_cce_37942_0,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers,AddPrinterDrivers,REG_DWORD,1
cis_cce_37848_9,true,false,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,SubmitControl,REG_DWORD,0
cis_cce_35904_2,true,false,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\NTDS\Parameters,ldapserverintegrity,REG_DWORD,1
cis_cce_36921_5,true,false,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,RefusePasswordChange,REG_DWORD,0
cis_cce_36142_8,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,RequireSignorSeal,REG_DWORD,1
cis_cce_37130_2,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,SealSecureChannel,REG_DWORD,1
cis_cce_37222_7,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,SignSecureChannel,REG_DWORD,1
cis_cce_37508_9,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,DisablePasswordChange,REG_DWORD,0
cis_cce_37431_4,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,MaximumPasswordAge,REG_DWORD,30
cis_cce_37614_5,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,RequireStrongKey,REG_DWORD,1
cis_cce_36056_0,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,DontDisplayLastUserName,REG_DWORD,1
cis_cce_38235_8,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,InactivityTimeoutSecs,REG_DWORD,900
cis_cce_37226_8,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,LegalNoticeText,REG_SZ,present
cis_cce_37512_1,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,LegalNoticeCaption,REG_SZ,present
cis_cce_37439_7,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,CachedLogonsCount,REG_SZ,4
cis_cce_37622_8,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,PasswordExpiryWarning,REG_DWORD,14
cis_cce_38333_1,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,scremoveoption,REG_SZ,0
cis_cce_36325_9,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LanmanWorkstation\Parameters,RequireSecuritySignature,REG_DWORD,0
cis_cce_36269_9,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LanmanWorkstation\Parameters,EnableSecuritySignature,REG_DWORD,1
cis_cce_37863_8,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LanmanWorkstation\Parameters,EnablePlainTextPassword,REG_DWORD,0
cis_cce_38046_9,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LanManServer\Parameters,autodisconnect,REG_DWORD,15
cis_cce_37864_6,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LanManServer\Parameters,requiresecuritysignature,REG_DWORD,1
cis_cce_35988_5,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LanManServer\Parameters,enablesecuritysignature,REG_DWORD,1
cis_cce_37972_7,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LanManServer\Parameters,enableforcedlogoff,REG_DWORD,1
cis_cce_36170_9,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LanManServer\Parameters,SMBServerNameHardeningLevel,REG_DWORD,O
cis_cce_37067_6,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,AutoAdminLogon,REG_SZ,0
cis_cce_36871_2,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Tcpip6\Parameters,DisableIPSourceRouting,REG_DWORD,2
cis_cce_36535_3,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Tcpip\Parameters,DisableIPSourceRouting,REG_DWORD,2
cis_cce_36351_5,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Session Manager,SafeDllSearchMode,REG_DWORD,1
cis_cce_37993_3,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,ScreenSaverGracePeriod,REG_SZ,0
cis_cce_36880_3,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Eventlog\Security,WarningLevel,REG_DWORD,0.9
cis_cce_36316_8,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,RestrictAnonymousSAM,REG_DWORD,1
cis_cce_36316_8,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,RestrictAnonymous,REG_DWORD,2
cis_cce_36148_5,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,EveryoneIncludesAnonymous,REG_DWORD,0
cis_cce_23115_0,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LanManServer\Parameters,NullSessionPipes,REG_MULTI_SZ,tbd
cis_cce_37194_8,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedExactPaths,Machine,REG_MULTI_SZ,tbd
cis_cce_36347_3,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedPaths,Machine,REG_MULTI_SZ,tbd
cis_cce_36021_4,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LanManServer\Parameters,restrictnullsessaccess,REG_DWORD,1
cis_cce_37623_6,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,ForceGuest,REG_DWORD,0
cis_cce_38341_4,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,UseMachineId,REG_DWORD,1
cis_cce_37035_3,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa\MSV1_0,allownullsessionfallback,REG_DWORD,0
cis_cce_38047_7,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa\pku2u,AllowOnlineID,REG_DWORD,0
cis_cce_37755_6,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters,SupportedEncryptionTypes,undefined,undefined
cis_cce_36326_7,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,NoLMHash,REG_DWORD,enabled
cis_cce_36173_3,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,LmCompatibilityLevel,REG_DWORD,5
cis_cce_36858_9,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LDAP,LDAPClientIntegrity,REG_DWORD,2
cis_cce_37553_5,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa\MSV1_0,NTLMMinClientSec,REG_DWORD,536870912
cis_cce_37835_6,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa\MSV1_0,NTLMMinServerSec,REG_DWORD,536870912
cis_cce_37624_4,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Setup\RecoveryConsole,securitylevel,REG_DWORD,1
cis_cce_37307_6,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Setup\RecoveryConsole,setcommand,REG_DWORD,0
cis_cce_36788_8,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,ShutdownWithoutLogon,REG_SZ,0
cis_cce_37885_1,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Session Manager\Kernel,ObCaseInsensitive,REG_DWORD,1
cis_cce_37644_2,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Session Manager,ProtectionMode,REG_DWORD,enabled
cis_cce_36494_3,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,FilterAdministratorToken,REG_DWORD,1
cis_cce_36863_9,true,true,HKEY_LOCAL_MACHINE,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableUIA,DesktopToggle,REG_DWORD,0
cis_cce_37029_6,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,ConsentPromptBehaviorAdmin,REG_DWORD,5
cis_cce_36864_7,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,ConsentPromptBehaviorUser,REG_DWORD,3
cis_cce_36533_8,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,EnableInstallerDetection,REG_DWORD,1
cis_cce_37057_7,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,EnableSecureUIAPaths,REG_DWORD,1
cis_cce_36869_6,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,EnableLUA,REG_DWORD,1
cis_cce_36866_2,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,PromptOnSecureDesktop,REG_DWORD,1
cis_cce_37064_3,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,EnableVirtualization,REG_DWORD,1
